Review,OnlinePlatform,MentorsTeachers,Price,MentorsTeachers,Price,CareerSupport,ContentSyllabus,Job Guarantee,FullStack,Cybersecurity,DataScience,AppliedAI,Outcomes,Scholarships,Rigobot,LearnPack
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mi interacción ha sido poca, pero Manu es muy atento",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Igual que con Pablo, son profesionales.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atento, interesado en resolver, experto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No he tenido oportunidad de trabajar con el,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"No he tenido oportunidad de trabajar con ella de momento.
Pero se nota su conocimiento",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Me ayudó a entender mejor el proyecto todo list,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Es una experiencia muy distinta de lo que se puede conseguir en Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Me ha brindado ayuda con mis consultas.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aun no he tenido la oportunidad de compartir.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Excelente aprendizaje, estoy motivado en aprender y sacar el mejor aprovechamiento",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Nos explica muy bien y nos brinda ejemplos de como realizar ejercicios.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Es una experiencia diferente a como estoy acostumbrado a estudiar.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"no tengo ninguna  queja, excelente.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
excelente,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Excelente.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Excelente,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"si lo recomiendo pero tienen que tener un poco de conocimiento, para ponerse al corriente.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"No me ha dado Mentoría, los he tenido con Alejandro, Mau he observado graba videos muy buenos para ayudar.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No se quien es,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Se da ha entender cuando explica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"La plataforma con explicaciones y ejercicios son muy buenos para hacer los codes, las mentorias aunque es poco tiempo son muy completas y la estrategia de practicar en clase ayuda mucho",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Bastante buena, la explicación ha sido clara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
En las salas individuales ayuda montones con las dudas que tenemos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Siempre hace aclaraciones en clase, y está pendiente si algún estudiante no está",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hasta el momento me ha gustado mucho la metodología de trabajo de la academia y el material que dan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Especialmente los ejercicios de JavaScript me he sentido abrumado,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Muy buena, me agendó una mentoría para apoyarme sin yo solicitarsela, esto muestra interés por mi aprendizaje.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Siempre muy atento y explicativo.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No la he tratado personalmente pero siempre muy explicativa en la reunión general.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Siempre recomendaré a 4geeks, excelente academia, están mucho más avanzados que muchas academias en Costa Rica.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Excelente profesor, siempre ayudando.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"No conozco al profesor, lo anterior debido a que no está asignado a nuestro grupo, pero no he escuchado quejas de él.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"No he tenido la oportunidad de tratarlo directamente, pero si he visto que está 100% disponible so necesitamos algo.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Excelente experiencia, he aprendido muchísimo.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Excelente programa. Super recomendado.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No he tenido la oportunidad de hablar con él,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No he tenido la oportunidad de hablar con él.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muy buen profesor, explica muy bien.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Muy buena, se aprende mucho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Super recomendado yo he aprendo bastante en poco tiempo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muy amable profe tiene mucha paciencia más que uno es lento para aprender .le agradezco mucho su ayuda y amabilidad .,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muy buena hace 2 semanas no tenía ni la mínima idea cm se hacía una página web.Les agradezco mucho...no tengo mucho conocimiento ahora pero ya se más que antes .,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tomas esta en otro grupo, entonces no puedo decir como es",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yo diria que bien, casi no he tratado con el",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bien casi no he hablado con el,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bien,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
un poco dificil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
no he recibido con el,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
no he recibido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
He aprendido mucho en muy poco tiempo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No he tenido el placer de estar directo con el pero en los grupos generales sus aportes han sido maravillosos sus clases y en slack sus respuestas y atención es maravillosa,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Maravilloso mentor, es muy amable, paciente, explica maravillosamente",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
No lo conozco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Es un excelente profe me ha ayudado muchísimo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Excelente profesor, explica muy bien y en las salas ayuda bastante si tenemos problemas con los ejercicios.",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
supone que todos vamos al ritmo de él.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Excelente el mejor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muy paciente,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Me encanta el método he aprendido muchísimo u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Por ahora no lo sé, hasta hoy no.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"muy buen curso pero hay que estudiar y leer mucho, investigar en internet, no pensar que es por horario antes y despues seguir estudiando",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Excelente profesor, con dominio de los programas. Sabe comunicar y se toma el tiempo para explicar los temas.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Me ha gustado bastante el curso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Buen mentor, siempre dispuesto a ayudar y aclarar dudas.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Ella colabora con la clase cuando se le requiere, resuelve preguntas y sabe expresarme claramente.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No he tenido la oportunidad de hablar con él. Pero esta al pendiente de las horas de gitpod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomás es muy bueno explicando. Tiene mucha paciencia y explica con claridad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tiene mucho conocimiento. A la hora de explicar, debe hacerlo con más detenimiento para que los alumnos comprendan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aunque me cuesta algunos puntos Manu ha sido paciente. Tiene mucha habilidad en la enseñanza.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ha sido increíble, he aprendido mucho en muy poco tiempo.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivamente ha sido mi mejor experiencia.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ha sido buena, en general explica bien y se toma el tiempo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Excelente profe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ha sido una experiencia muy enriquecedora. Estoy disfrutando mucho.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel ayuda a que el ambiente sea entretenido y agradable a pesar de que tengamos algún sentimiento de frustración. Aparte de su muy buena enseñanza.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
He tenido pocas oportunidades con Tomas pero cuando he tenido dudas ha podido ayudarme eficientemente.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buenas habilidades de enseñanza y manejo de la materia.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Por el momento estoy contenta, estoy aprendiendo un montón y se lo recomendaría a cualquiera que quisiera aprender sobre desarrollo web",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
muy problable!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muy bonita pero un pco cansado, pero muy bien todo!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pues he tenido poco contacto con el, asi que no sabria decir, pero en general creo que es bueno!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es un super profesor!!! muy bueno!!,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
muy bueno!!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es bueno!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Claro que si, ya que en la academia se aprende un montón y siempre se recuerda que uno no sepa de desarrollo web, se puede logar entender.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Es un excelente profesor, ya que te vuelve a explicar si uno no entendió. Se toma su rato para explicar y da recomendaciones para logar la practica o proyecto.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Es un excelente profesor, ya que te vuelve a explicar si uno no entendió. Se toma el tiempo para que uno entienda los conceptos y las aplicaciones, también da recomendaciones para realizar en los proyectos.",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Excelente,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marta es muy muy buena explicando. Dedica mucho empeño en enseñar, usa gráficos hechos por ella y explica ""exageradamente bien"". Seria bueno que la consideren como ejemplo para enseñanza. Enseguida que explica se entiende muy bien los conceptos y da mucho gusto tener sesiones con ella.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alejo siempre esta dispuesto a colaborar excelente persona y explica muy bien,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Es un excelente profesor, ya que te vuelve a explicar si uno no entendió, tambien da buenos consejos para avanzar como profesional",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Como persona y como coordinador académico es excelente. Siempre se le agradece las ayuda y al atención que da.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ha sido un poco de todo, ya que es bastante materia y uno debe de adaptarse rápido. Sin embargo, la experiencia ha sido bastante enriquecedora.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
no he tenido la oportunidad de trabajar con él,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
explica super bien,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
siempre disponible y dispuesto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ha sido muy interesante poder retarme a mi misma aprendiendo de una forma tan intensiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No he tenido relación con el,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Buena, es respetuoso y responde a las preguntas que se le hacen y hace el esfuerzo para que la gente se interese en el tema.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No he tenido interacción alguna con él puesto que está en el grupo A y yo soy del B.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muy buena, me reta desde el primer día y me obliga a dar más para poder nivelar me",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buen profesor,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Excelente,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No he tenido relación con el,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"No me ha dado clases, nos asiste con problemas de tiempo en gotpod",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Todo el equipo de teachers ha sido genial,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tiene mucha paciencia para explicar.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No he tenido interacción con él.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
no lo conozco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Excelente, muy atento y amable para resolver las consultas.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Regular, no he tenido la oportunidad de trabajar con ella, no sería justo afirmar sin tratarla. Sin embargo, su última participación en la clase general, se ve que explica muy bien.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Excelente muy contento con todo!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Explica muy bien y con calma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qué gran profesor!! Se le ve que sabe mucho,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Siempre está atento en el chat.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nunca he recibido lecciones con él pero intuyo que también es buen docente,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Esto lo deberían evaluar pero al final (seguro que si lo hacen), porque hasta el momento no hay un criterio muy formado.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daniel explica muy bien, es muy amable y es una experiencia amena hablar con él.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mi experiencia ha sido muy buena, se nota en el equipo de trabajo que se toman muy en serio que uno aprenda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al menos, la modalidad de full time, la recomendaría a personas con un grado de conocimientos previos en la materia, ya que entre clases prácticamente no existe tiempo para repasar la materia.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Ha sido una buena experiencia, siempre hay actividades para hacer y eso es bueno, dado que la mejor forma de aprender es practicando. Estoy muy contenta porque logré aprender cosas que antes había intentado aprender por mí misma y que no pude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Es muy amable y siempre trata de ayudar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tiene muy buen conocimiento de los temas en los que nos ha ayudado o sobre los que le hemos preguntado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hasta el momento ha sido una excelente experiencia, sí recomendaría 4Geeks academy definitivamente",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No he tenido mucha interacción con Daniel...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
He tenido poca interacción con Alexander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Un reto, la verdad muy dinamico y con mucha información",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pura vida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pura vida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pura vida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100 % recomendable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muy buen profesor, se toma el tiempo para explicar y se nota que tiene ese don de explicar",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
No hemos tenido mucha comunicación.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"la experiencia ha sido muy buena y, en lo personal he aprendido mucho.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
la verdad no he recibido clase con el.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aún no he tenido mentorias con Manu Ortega,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100% recomendados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Excelente servicio de capacitación y equipo de trabajo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Una persona muy amable y servicial aunque lastimosamente tenía problemas con el internet los primeros días,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Una persona muy capacitada y paciente para ayudar con sus conocimientos al estudiante,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"lo recomiendo al 100, pero lo recomendaría más si de alguna forma, se pudiera hablar más de la preparación hacia el mercado laboral.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"muy bueno, ágil y constante",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"muy bueno, muy motivador,  percibo que está en un proceso de aprendizaje y cada vez mejora más para la agilidad en los códigos.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"muy bueno también, inteligente y rápido.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"excelente, muy buena disposición y siempre con una sonrisa atenta.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lxs profes son muy buenxs, el problema es que hay estudiantes que llegan al límite del irrespeto con lxs profes y con estudiantes no tan avanzados, es importante poder parar esto antes que logre generar un probleema generalizado en el grupo.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Excelente explicación y pendiente de alguna duda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Excelente explicación y pendiente de alguna duda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Excelente explicación y pendiente de alguna duda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solo tuve un contacto con el al inicio y lo único que nos dijo fue que copiaramos y pegaremos en vez de explicar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No he tenido contacto con el.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hasta la fecha no he tenido nada más que una mentoría pero da gusto que te de clases alguien no solo con los conocimientos si no también con la experiencia de lo que vamos a encontrar fuera cuando acabemos el curso.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Lamentablemente no he tenido la mejor experiencia y debido a eso es que no lo recomendaría. Como dije antes, la Academia tiene potencial, pero la estructura de aprendizaje esta mal diseñada",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Dependerá de como transcurra el resto del curso, de momento siento que estoy aprendiendo de forma satisfactoria y todo bien, si todo sigue así lo podría recomendar claro. Realmente el único obstáculo que veo de momento es el costo en caso de no becados.",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Muy cordial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Excelente nivel de aprendizaje aunque algunos compañeros aún falta mejorar aptitudes éticas y tolerantes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Las posibilidades son altas solo que le haría saber con anticipación el nivel de intensidad que le espera y que debe prepararse con antelación,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
